Classifier,Accuracy (%),Train Time (ms),Test Time (ms)
Random Forest,97.04166666666667,1126.0182857513428,29.88886833190918
SVM,98.08333333333333,157.58037567138672,151.5941619873047
Logistic Regression,87.66666666666667,22.939205169677734,1.0197162628173828
